compound_id,compound_name_raw,compound_name_normalized,pubchem_cid,molecular_formula,molecular_weight,smiles,inchikey,iupac_name,xlogp,tpsa,dtxsid,dtxcid,logd55,logd74,ready_bio_deg,kegg_ids,kegg_names,kegg_pathways,chembl_ids
CMPD_BEDC4B179FA1,15-epi-cyllenin A,15 epi cyllenin a,131752219,C59H46O26,1171,C1C(C(OC2=C1C(=C(C(=C2)O)C3C(C(OC4=C(C(=CC(=C34)O)O)C5C(C(OC6=CC(=CC(=C56)O)O)C7=CC(=C(C=C7)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O)C9=CC(=C(C=C9)O)O)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)C1=CC(=C(C=C1)O)O)O,QCFCSTSCUPJEFV-UHFFFAOYSA-N,"[2-(3,4-dihydroxyphenyl)-4-[2-(3,4-dihydroxyphenyl)-4-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-6-yl]-5,7-dihydroxy-3-(3,4,5-trihydroxybenzoyl)oxy-3,4-dihydro-2H-chromen-8-yl]-5,7-dihydroxy-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate",5.6,465,DTXSID801098123,DTXCID801529867,"0,66","0,66",0.0,,,,
CMPD_BEE20315B7D0,isocostic acid,isocostic acid,10922464,C15H22O2,234.33,CC1=C2C[C@@H](CC[C@]2(CCC1)C)C(=C)C(=O)O,SGZOYHLQNUSAIL-IUODEOHRSA-N,"2-[(2R,4aR)-4a,8-dimethyl-2,3,4,5,6,7-hexahydro-1H-naphthalen-2-yl]prop-2-enoic acid",3.6,37.3,,,,,,,,,CHEMBL371833
CMPD_BEEAE1548436,Acylphloroglucinol 6-dihydroxyphenyl-1-butanone-2-β-D-O-glucopyranoside,acylphloroglucinol 6 dihydroxyphenyl 1 butanone 2 β d o glucopyranoside,,,,,,,,,,,,,,,,,
CMPD_BEF6A2D76600,butane-2-3-diol,butane 2 3 diol,6442,C4H9NO3,119.12,CC(C)(CO)[N+](=O)[O-],MVGJRISPEUZYAQ-UHFFFAOYSA-N,2-methyl-2-nitropropan-1-ol,-0.1,66.1,DTXSID8026436,DTXCID706436,"0,07","0,07",1.0,,,,
CMPD_BEF75DE4D44F,"2,4,6-trimethylbenzonitrile N-oxide","2,4,6 trimethylbenzonitrile n oxide",137759,C10H11NO,161.2,CC1=CC(=C(C(=C1)C)C#[N+][O-])C,ZILPALOUYKHPKI-UHFFFAOYSA-N,"2,4,6-trimethylbenzonitrile oxide",2.2,30.7,DTXSID10183277,DTXCID20105768,"3,21","3,21",0.0,,,,
CMPD_BEFE497A740C,Acetylsalicylic acid,acetylsalicylic acid,2244,C9H8O4,180.16,CC(=O)OC1=CC=CC=C1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2-acetyloxybenzoic acid,1.2,63.6,DTXSID5020108,DTXCID50108,"-0,13","-2,01",1.0,,,,
CMPD_BEFF0AF337E3,sedrone S,sedrone s,,,,,,,,,,,,,,,,,
CMPD_BF0AE4A3ECDA,Ingenol,ingenol,442042,C20H28O5,348.4,C[C@@H]1C[C@@H]2[C@@H](C2(C)C)[C@@H]3C=C([C@H]([C@]4([C@@]1(C3=O)C=C([C@@H]4O)C)O)O)CO,VEBVPUXQAPLADL-POYOOMFHSA-N,"(1S,4S,5R,6R,9S,10R,12R,14R)-4,5,6-trihydroxy-7-(hydroxymethyl)-3,11,11,14-tetramethyltetracyclo[7.5.1.01,5.010,12]pentadeca-2,7-dien-15-one",0.2,98,,,,,,,,,
CMPD_BF0FC60E2EBF,8-Methoxypsoralen,8 methoxypsoralen,,,,,,,,,,,,,,,,,
CMPD_BF116128C9BF,N-pertyl benzene,n pertyl benzene,,,,,,,,,,,,,,,,,
