compound_id,file_name,file_path,file_type,match_method,match_score,source
CMPD_9DD37F891A89,10452.sdf,/structures/10452.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_E7B381051257,10453.sdf,/structures/10453.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_857FE817BD27,104537.sdf,/structures/104537.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_5AF2659C77B6,104719.sdf,/structures/104719.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_23889C793D16,104847.sdf,/structures/104847.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_39F965B47ADC,104863.sdf,/structures/104863.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_A39CC257B8DA,10486801.sdf,/structures/10486801.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_2A21E5F41557,10544575.sdf,/structures/10544575.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_7C62E6D7D1C6,10621.sdf,/structures/10621.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_95469A35437F,10624721.sdf,/structures/10624721.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_A171EE5E7708,107.sdf,/structures/107.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_253AD9BE058E,107050.sdf,/structures/107050.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_376C27ED2E7A,10718718.sdf,/structures/10718718.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_9889FB4B4620,10742.sdf,/structures/10742.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_28F28FA0BB4F,107855.sdf,/structures/107855.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_FC0F829F65FA,107876.sdf,/structures/107876.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
